Title,URL,Short Intro,Category,Course Type,Language,Skills Required,Age,Next Course
Spoken English Course,https://www.youtube.com/playlist?list=PLAX41TUzaphC09B9HFfEqOkwBqCk1yE9v,"This is a spoken English course, which requires no skills.",Language,Basic,"Hindi, Urdu",None,All,Written English Course
Written English Course,https://www.youtube.com/watch?v=GWnk2MSPzmo,"This requires some English knowledge, and can help in writing English.",Language,Basic,"Hindi, Urdu",English(speaking),All,"Financial Basics, Data Entry"
Financial Basics,https://www.youtube.com/playlist?list=PLmSGbCS0swswHGaytV6QQkyA9tGR7i0tV,This gives a basic insight towards finance.,Finance,Basic,English,English ,18,Affiliate Marketing
Digital Marketing Full Course in Hindi,https://www.youtube.com/watch?v=5BryhlKLTVY,This gives a basic idea on marketing.,Marketing,Basic,"Hindi, English","English, Hindi",18,Social Media Marketing for Beginners
Social Media Marketing for Beginners,https://www.youtube.com/playlist?list=PLXwTOG3-tRwhVnx29CChrSgDJN_KlhJzv,Helps in marketing through social media,Marketing,Basic,"Hindi, English",Social Media Understanding,All,Basics of Advertising in Hindi
Email Marketing Basics,https://www.youtube.com/watch?v=94gHaHKmD4Q,Marketing through Emails,Email,Specialization,English,"English, Mail",All,Freelancing
Branding Essentials for Small Businesses,https://www.youtube.com/watch?v=LwrGSKnShmk,Helps in starting business,Startup,Basic,"Hindi, English","English, Entrepeneurship",18,Basics of Advertising in Hindi
Basics of Advertising in Hindi,https://www.youtube.com/watch?v=nDAPl8M-vfo&list=PLPf7aahSRKFV52-nmii3BpFynB2oarwTU&index=1,Basics in Advertising through phones only.,Startup,Specialization,English,English,All,Affiliate Marketing
Typing Mastery Course,https://www.youtube.com/playlist?list=PLl7bxsSiKuDbZgHkP6LgEfILKv0qEQsjW,Basic Data Entry Skills,Data Entry,Basic,English,"Keyboard, English",18,Data Entry Job Training
Data Entry Job Training,https://www.youtube.com/playlist?list=PLQOGKy2nPhxncSFTfVOfmX6tsaIhvxFvA,Specializing Data Entry for Job Level,Data Entry,Specialization,English,"Keyboard, English",18,Python
Applying Job in NGO,https://www.youtube.com/watch?v=y8WcmGuwBLc,How to apply for job in NGO.,Job Applying,Basic,Hindi,None,18,None
Hindi Grammar,https://www.youtube.com/playlist?list=PLkaFsSywHpwe9tV7172JPN6I52ahKgEkT,Learning Hindi for specialization.,Language,Specialization,Hindi,None,All,Spoken English Course
Affiliate Marketing,https://www.youtube.com/watch?v=Z4JW2hkXFSw,Selling Products through links.,Marketing,Basic,"English, Hindi",Marketing,All,Freelancing
Freelancing,https://www.youtube.com/watch?v=FjEJ0yahkGw,Doing jobs through applying on websites,Freelancing,Basic,"English, Hindi",None,18,None
Video Editing,https://www.youtube.com/watch?v=g9G218IncLw,Video Editing through phones,Editing,Basic,"English, Hindi",None,All,Video Editing(Advanced)
Video Editing(Advanced),https://www.youtube.com/watch?v=nEwHL9GRuFk,Video Editing through phones,Editing,Specialization,"English, Hindi",None,All,Freelancing
Graphic Designing,https://www.youtube.com/watch?v=RWGqp8Z4dXo,Graphic Designing through phones,Graphic Designer,Basic,"English, Hindi",None,All,Freelancing
Youtuber,https://www.youtube.com/watch?v=meMJdfytNI0,How to become a Youtuber?,Youtuber,Basic,"English, Hindi",None,All,Basics of Advertising in Hindi
Data Scientist,https://www.youtube.com/watch?v=uIUvpJdYgSA,Handling Data in a computer.,Data Scientist,Basic,"English, Hindi","Computer, Data Entry",All,Python
Python ,https://www.youtube.com/watch?v=kqtD5dpn9C8,Learning Python for Beginners,Coding,Basic,English,Computer,All,Machine Learning
C++,https://www.youtube.com/watch?v=ZzaPdXTrSb8,Leaning C++ for Beginners,Coding,Basic,English,Computer,All,DSA
